,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
343, Fabia,4,1.2,6934,0,1,0,0,1
344, Citigo,3,1.0,7999,0,1,0,0,1
345, Fabia,1,1.0,11980,0,1,0,0,1
346, Octavia,5,2.0,14577,0,1,0,1,0
347, Kodiaq,1,1.5,21798,1,0,0,0,1
348, Karoq,1,2.0,20498,0,1,0,1,0
349, Citigo,4,1.0,6698,0,1,0,0,1
350, Octavia,4,1.4,11298,0,1,0,0,1
351, Superb,4,2.0,14698,0,1,0,1,0
352, Superb,3,1.6,14498,0,0,1,1,0
353, Superb,5,2.0,12998,0,1,0,1,0
354, Octavia,3,1.6,11998,0,0,1,1,0
355, Octavia,1,1.6,13298,0,0,1,1,0
356, Kodiaq,1,1.5,21798,1,0,0,0,1
357, Octavia,2,1.0,12998,0,1,0,0,1
358, Octavia,4,2.0,10710,0,0,1,1,0
359, Superb,4,2.0,14998,0,1,0,1,0
360, Superb,4,1.6,11398,0,1,0,1,0
361, Fabia,5,1.4,7400,0,1,0,1,0
362, Yeti Outdoor,3,1.2,14498,0,0,1,0,1
363, Superb,2,2.0,20498,0,0,1,0,1
364, Octavia,4,1.4,10498,0,0,1,0,1
365, Octavia,3,2.0,12998,0,0,1,1,0
366, Octavia,4,1.4,10998,0,1,0,0,1
367, Fabia,5,1.4,7498,0,1,0,1,0
368, Octavia,2,1.6,11998,0,1,0,1,0
369, Citigo,4,1.0,6298,0,1,0,0,1
370, Octavia,4,1.6,8998,0,1,0,1,0
371, Octavia,1,1.0,13398,0,1,0,0,1
372, Fabia,1,1.0,9398,0,1,0,0,1
373, Superb,1,1.5,21998,0,0,1,0,1
374, Octavia,4,2.0,12387,0,1,0,1,0
375, Octavia,2,1.0,12297,0,1,0,0,1
376, Karoq,2,1.0,17510,1,0,0,0,1
377, Fabia,4,1.2,8557,0,1,0,0,1
378, Octavia,4,2.0,15516,0,0,1,1,0
379, Karoq,2,1.5,19911,1,0,0,0,1
380, Fabia,3,1.2,10214,0,0,1,0,1
381, Yeti Outdoor,4,2.0,9679,0,1,0,1,0
382, Kodiaq,2,1.4,18043,0,1,0,0,1
383, Scala,1,1.6,15495,0,1,0,1,0
384, Superb,1,1.6,21995,1,0,0,1,0
385, Octavia,1,1.0,13898,0,0,1,0,1
386, Octavia,1,1.0,13398,0,1,0,0,1
387, Fabia,2,1.0,9298,0,1,0,0,1
388, Octavia,2,1.6,13498,0,1,0,1,0
389, Octavia,2,1.6,13598,0,1,0,1,0
390, Octavia,1,1.0,13498,0,1,0,0,1
391, Fabia,1,1.0,8898,0,1,0,0,1
392, Octavia,1,1.6,14898,0,0,1,1,0
393, Kodiaq,1,2.0,24498,1,0,0,1,0
394, Scala,1,1.0,18995,1,0,0,0,1
395, Scala,1,1.6,17995,0,1,0,1,0
396, Scala,1,1.6,16295,0,1,0,1,0
397, Octavia,3,1.0,12095,0,1,0,0,1
398, Octavia,1,1.0,14295,0,1,0,0,1
399, Kodiaq,1,2.0,31995,1,0,0,1,0
400, Citigo,1,1.0,9295,0,1,0,0,1
401, Octavia,3,1.0,9895,0,1,0,0,1
402, Fabia,1,1.0,8898,0,1,0,0,1
403, Superb,5,2.0,14998,0,0,1,1,0
404, Fabia,3,1.2,11698,0,0,1,0,1
405, Citigo,6,1.0,4698,0,1,0,0,1
406, Fabia,4,1.2,7998,0,1,0,0,1
407, Citigo,6,1.0,3998,0,1,0,0,1
408, Octavia,2,1.0,12498,0,1,0,0,1
